"","COWCODE","diamond.sites","gem.sites","gold.sites","oil.sites","drug.sites","weighted.resources","tot.resource.sites"
"1",-9999,5,NA,NA,1,NA,11,6
"2",0,NA,69,NA,NA,NA,138,69
"3",2,11,44,NA,48,NA,158,103
"4",5,NA,1,NA,NA,NA,2,1
"5",20,23,30,NA,8,NA,114,61
"6",40,NA,NA,2,3,NA,7,5
"7",41,NA,NA,4,NA,NA,8,4
"8",42,NA,NA,7,NA,NA,14,7
"9",51,NA,NA,1,NA,1,3,2
"10",52,NA,NA,NA,1,NA,1,1
"11",54,NA,NA,2,NA,NA,4,2
"12",70,NA,11,35,10,2,104,58
"13",90,NA,2,3,3,1,14,9
"14",91,NA,2,12,NA,NA,28,14
"15",93,NA,NA,10,NA,NA,20,10
"16",94,NA,NA,4,NA,NA,8,4
"17",95,NA,NA,31,NA,NA,62,31
"18",100,1,NA,31,12,9,85,53
"19",101,134,NA,3,7,NA,281,144
"20",110,93,NA,61,NA,NA,308,154
"21",115,9,NA,7,1,NA,33,17
"22",130,NA,NA,42,2,NA,86,44
"23",135,NA,2,38,6,9,95,55
"24",136,NA,NA,1,NA,NA,2,1
"25",140,239,118,120,7,1,962,485
"26",145,4,1,42,3,3,100,53
"27",150,1,NA,1,NA,NA,4,2
"28",155,NA,1,26,2,NA,56,29
"29",160,NA,NA,21,8,NA,50,29
"30",165,1,1,3,NA,NA,10,5
"31",200,NA,1,NA,4,NA,6,5
"32",205,NA,NA,1,NA,NA,2,1
"33",210,NA,NA,NA,2,NA,2,2
"34",220,NA,NA,3,4,NA,10,7
"35",230,NA,NA,11,2,NA,24,13
"36",255,NA,4,NA,9,NA,17,13
"37",290,NA,NA,NA,3,NA,3,3
"38",305,NA,NA,NA,2,NA,2,2
"39",310,NA,NA,1,2,NA,4,3
"40",316,NA,NA,1,2,NA,4,3
"41",317,NA,2,NA,1,NA,5,3
"42",325,NA,NA,NA,4,NA,4,4
"43",339,NA,NA,NA,2,NA,2,2
"44",343,NA,NA,1,NA,NA,2,1
"45",344,NA,NA,NA,1,NA,1,1
"46",346,NA,NA,1,NA,NA,2,1
"47",349,NA,NA,NA,1,NA,1,1
"48",350,NA,NA,2,NA,NA,4,2
"49",355,NA,NA,2,2,NA,6,4
"50",360,NA,NA,2,4,NA,8,6
"51",365,34,39,71,19,2,309,165
"52",368,NA,NA,NA,1,NA,1,1
"53",369,1,2,NA,4,NA,10,7
"54",370,1,NA,NA,1,NA,3,2
"55",372,NA,NA,2,1,2,7,5
"56",373,NA,NA,NA,2,NA,2,2
"57",375,3,NA,NA,NA,NA,6,3
"58",380,2,NA,NA,1,NA,5,3
"59",385,2,NA,NA,NA,NA,4,2
"60",411,NA,NA,2,NA,NA,4,2
"61",432,3,2,6,NA,NA,22,11
"62",433,NA,NA,1,1,NA,3,2
"63",435,4,NA,2,NA,NA,12,6
"64",436,NA,NA,1,NA,NA,2,1
"65",437,17,NA,3,NA,NA,40,20
"66",438,54,NA,8,NA,NA,124,62
"67",439,4,NA,3,NA,NA,14,7
"68",450,32,NA,2,NA,NA,68,34
"69",451,26,NA,2,NA,NA,56,28
"70",452,20,NA,13,NA,1,67,34
"71",471,1,NA,3,2,NA,10,6
"72",475,3,40,2,1,1,92,47
"73",481,7,NA,NA,1,NA,15,8
"74",482,27,NA,2,NA,NA,58,29
"75",483,5,NA,2,1,NA,15,8
"76",484,1,NA,1,1,NA,5,3
"77",490,36,NA,6,1,NA,85,43
"78",500,NA,NA,NA,NA,1,1,1
"79",501,NA,28,3,NA,4,66,35
"80",510,12,49,6,NA,NA,134,67
"81",517,NA,NA,3,NA,NA,6,3
"82",530,NA,2,2,NA,1,9,5
"83",531,NA,1,3,NA,NA,8,4
"84",540,52,NA,3,2,NA,112,57
"85",541,6,10,3,NA,3,41,22
"86",551,6,24,4,NA,NA,68,34
"87",552,8,4,11,NA,NA,46,23
"88",553,NA,3,NA,NA,NA,6,3
"89",560,114,3,12,NA,1,259,130
"90",565,29,13,1,NA,NA,86,43
"91",570,10,NA,NA,NA,1,21,11
"92",571,9,NA,3,NA,NA,24,12
"93",572,1,NA,NA,NA,1,3,2
"94",580,NA,61,7,NA,NA,136,68
"95",581,NA,8,NA,NA,NA,16,8
"96",600,NA,NA,3,2,1,9,6
"97",615,2,NA,3,13,NA,23,18
"98",616,NA,NA,2,8,NA,12,10
"99",620,NA,NA,NA,7,NA,7,7
"100",625,NA,NA,2,1,NA,5,3
"101",630,NA,NA,8,10,4,30,22
"102",640,NA,1,10,5,1,28,17
"103",645,NA,NA,NA,6,NA,6,6
"104",651,NA,4,4,8,2,26,18
"105",652,NA,NA,NA,4,NA,4,4
"106",660,NA,NA,NA,NA,2,2,2
"107",663,NA,NA,1,2,NA,4,3
"108",666,NA,NA,NA,2,NA,2,2
"109",670,NA,NA,3,9,NA,15,12
"110",679,NA,NA,NA,3,NA,3,3
"111",690,NA,NA,NA,1,NA,1,1
"112",692,NA,NA,NA,1,NA,1,1
"113",694,NA,NA,NA,1,NA,1,1
"114",696,NA,NA,NA,2,NA,2,2
"115",698,NA,1,1,6,NA,10,8
"116",700,NA,9,NA,2,9,29,20
"117",701,NA,NA,NA,13,NA,13,13
"118",702,NA,5,3,4,NA,20,12
"119",703,NA,NA,5,3,3,16,11
"120",704,NA,NA,6,5,NA,17,11
"121",705,1,5,6,9,1,34,22
"122",710,10,33,26,28,2,168,99
"123",712,NA,NA,4,NA,NA,8,4
"124",731,NA,NA,1,NA,NA,2,1
"125",732,NA,NA,3,NA,NA,6,3
"126",740,NA,NA,NA,4,NA,4,4
"127",750,14,89,8,7,5,234,123
"128",770,NA,31,2,6,3,75,42
"129",771,NA,NA,NA,2,2,4,4
"130",775,7,54,8,4,3,145,76
"131",780,NA,54,NA,NA,NA,108,54
"132",790,NA,16,NA,NA,NA,32,16
"133",800,4,13,6,6,2,54,31
"134",811,NA,9,3,NA,1,25,13
"135",812,NA,1,33,NA,4,72,38
"136",816,NA,10,2,NA,2,26,14
"137",820,1,1,2,NA,NA,8,4
"138",835,NA,NA,NA,2,NA,2,2
"139",840,NA,7,24,2,NA,64,33
"140",850,16,33,16,13,NA,143,78
"141",900,67,63,NA,15,NA,275,145
"142",910,NA,1,31,1,1,66,34
"143",920,NA,4,NA,1,NA,9,5
"144",940,1,NA,NA,NA,NA,2,1
